grade confidence_level parsing_issue_occurred
Correct 24.09375 1
Wrong 22.6875 1
Correct 24.375 1
Wrong 23.046875 1
Correct 22.78125 0
Wrong 19.21875 0
Correct 26.53125 1
Wrong 22.984375 1
Wrong 20.859375 0
Wrong 23.8125 1
Correct 19.875 0
Wrong 25.390625 1
Correct 25.296875 1
Wrong 23.0 1
Correct 25.984375 1
Correct 25.0625 1
Correct 23.640625 1
Correct 21.109375 0
Wrong 20.21875 0
Wrong 19.796875 0
Correct 25.65625 1
Wrong 23.140625 1
Correct 21.90625 1
Correct 24.21875 1
Wrong 23.859375 1
Correct 25.09375 1
Correct 22.859375 1
Wrong 20.109375 0
Correct 27.140625 1
Wrong 21.46875 0
Wrong 23.46875 1
Wrong 20.515625 0
Wrong 23.796875 1
Correct 21.84375 0
Correct 23.828125 1
Wrong 24.28125 1
Wrong 22.5 1
Wrong 18.8125 0
Correct 21.109375 1
Wrong 22.796875 1
Correct 27.375 1
Wrong 23.265625 1
Wrong 20.875 0
Correct 25.0625 1
Correct 24.703125 1
Wrong 24.875 1
Wrong 21.890625 0
Correct 28.234375 1
Correct 21.96875 0
Correct 21.859375 1
Correct 24.140625 1
Wrong 26.5 1
Wrong 22.828125 1
Wrong 20.65625 0
Correct 21.21875 0
Wrong 25.578125 1
Wrong 24.796875 1
Wrong 22.734375 1
Wrong 19.59375 0
Correct 20.5625 0
Wrong 24.5625 1
Correct 24.859375 1
Wrong 22.546875 0
Wrong 21.59375 1
Wrong 22.5625 1
Wrong 27.328125 1
Wrong 26.234375 1
Wrong 25.15625 1
Wrong 22.515625 1
Correct 23.84375 1
Wrong 26.25 1
Wrong 23.84375 1
Correct 22.546875 0
Wrong 23.71875 1
Wrong 27.609375 1
Correct 24.328125 1
Correct 23.09375 1
Wrong 23.203125 1
Wrong 22.453125 0
Correct 21.53125 0
Wrong 24.71875 1
Correct 24.09375 1
Wrong 23.46875 1
Wrong 22.625 1
Wrong 22.15625 1
Wrong 24.140625 1
Wrong 22.75 1
Wrong 25.53125 1
Correct 21.59375 1
Wrong 26.4375 1
Wrong 20.328125 0
Correct 20.0625 0
Wrong 22.375 1
Wrong 23.140625 1
Wrong 25.28125 1
Correct 26.5625 1
Correct 26.75 1
Wrong 25.40625 1
Wrong 23.28125 1
Correct 21.8125 1
Wrong 24.453125 1
Wrong 25.875 1
Wrong 23.375 1
Correct 23.953125 1
Correct 25.640625 1
Correct 23.171875 1
Correct 24.34375 1
Correct 20.140625 0
Wrong 23.5 1
Wrong 25.078125 1
Correct 20.171875 0
Correct 21.5 0
Wrong 22.671875 1
Correct 22.484375 1
Wrong 24.203125 1
Wrong 22.96875 1
Correct 23.71875 1
Wrong 25.0 1
Wrong 20.765625 0
Wrong 24.1875 1
Wrong 24.046875 1
Wrong 24.859375 1
Wrong 20.8125 0
Correct 20.015625 0
Wrong 21.859375 1
Wrong 23.375 1
Correct 20.8125 0
Wrong 25.546875 1
Correct 26.03125 1
Wrong 19.03125 0
Correct 23.765625 1
Wrong 23.125 1
Wrong 24.875 1
Correct 21.015625 0
Correct 22.9375 0
Correct 21.734375 0
Correct 25.140625 1
Correct 26.5 1
Wrong 21.21875 1
Correct 26.625 1
Wrong 20.796875 3
Wrong 19.796875 0
Correct 22.296875 0
Correct 26.359375 1
Wrong 21.15625 0
Wrong 23.734375 1
Correct 25.515625 1
Correct 27.84375 1
Correct 20.40625 0
Wrong 23.109375 1
Wrong 22.53125 1
Correct 21.0625 0
Wrong 23.15625 1
Correct 23.171875 1
Correct 24.375 1
Correct 22.140625 0
Wrong 24.859375 1
Correct 24.796875 1
Wrong 22.28125 1
Wrong 21.0 0
Wrong 24.9375 1
Correct 23.9375 1
Wrong 26.6875 1
Wrong 22.8125 1
Correct 24.25 1
Correct 24.921875 1
Correct 25.03125 1
Wrong 27.140625 1
Wrong 26.234375 1
Wrong 25.609375 1
Correct 22.328125 0
Wrong 20.453125 0
Correct 19.28125 0
Correct 23.609375 0
Correct 21.5 0
Correct 22.171875 0
Correct 25.109375 1
Correct 23.6875 1
Wrong 20.4375 0
Correct 22.84375 0
Wrong 22.84375 1
Wrong 25.25 1
Wrong 21.640625 1
Wrong 18.21875 0
Correct 20.984375 0
Wrong 22.484375 0
Wrong 24.375 1
Correct 19.859375 0
Wrong 19.9375 0
Correct 26.21875 1
Correct 26.53125 1
Correct 27.265625 1
Correct 21.78125 0
Correct 23.3125 1
Correct 25.28125 1
Wrong 22.1875 1
Wrong 19.34375 0
Correct 21.84375 1
Correct 26.609375 1
Wrong 23.4375 1
Correct 24.859375 1
Wrong 20.1875 0
Correct 26.078125 1
Correct 23.515625 1
Wrong 25.53125 1
Wrong 22.40625 1
Correct 21.53125 0
Wrong 25.734375 1
Correct 27.40625 1
Correct 23.71875 1
Wrong 20.671875 0
Correct 25.84375 1
Wrong 23.609375 1
Correct 27.28125 1
Correct 25.234375 1
Wrong 24.578125 1
Wrong 22.859375 1
Wrong 24.453125 1
Unparseable 0 4
Wrong 22.9375 1
Correct 21.703125 0
Correct 27.0625 1
Wrong 25.703125 1
Correct 27.59375 1
Wrong 23.0625 1
Correct 23.734375 1
Correct 20.140625 0
Wrong 23.125 1
Correct 24.640625 1
Wrong 23.578125 0
Correct 26.296875 1
Correct 26.484375 1
Wrong 24.265625 1
Wrong 24.40625 1
Correct 19.90625 0
Correct 27.28125 1
Wrong 21.265625 0
Correct 20.5625 0
Wrong 23.59375 1
Wrong 26.0625 1
Correct 25.265625 1
Wrong 20.703125 0
Wrong 25.15625 1
Correct 25.234375 1
Wrong 19.6875 0
Correct 24.28125 1
Correct 24.125 1
Correct 23.359375 1
Wrong 20.8125 0
Correct 21.171875 0
Wrong 21.359375 1
Wrong 24.046875 1
Correct 24.09375 1
Correct 26.546875 1
Wrong 23.9375 1
Wrong 24.625 1
Wrong 25.578125 1
Correct 24.96875 1
Wrong 20.15625 0
Wrong 20.71875 0
Correct 21.46875 0
Wrong 22.671875 1
Wrong 24.265625 1
Correct 22.1875 0
Wrong 24.921875 1
Wrong 21.84375 0
Wrong 26.140625 1
Correct 19.1875 0
Correct 21.640625 1
Correct 19.609375 0
Wrong 26.21875 1
Wrong 22.828125 1
Wrong 21.09375 0
Wrong 22.578125 1
Wrong 20.765625 0
Wrong 21.140625 0
Wrong 23.015625 1
Wrong 26.171875 1
Correct 20.078125 0
Correct 27.53125 1
Correct 25.0625 1
Correct 25.015625 1
Wrong 22.640625 1
Correct 23.5625 1
Correct 25.109375 1
Wrong 19.671875 0
Correct 21.90625 1
Wrong 24.5625 1
Wrong 21.109375 0
Wrong 23.546875 1
Correct 26.859375 1
Wrong 22.265625 1
Wrong 21.59375 0
Correct 25.359375 1
Wrong 23.171875 1
Correct 23.703125 1
Wrong 25.875 1
Correct 23.4375 1
Correct 24.796875 1
Correct 19.328125 0
Wrong 20.640625 0
Wrong 22.59375 1
Wrong 20.859375 1
Correct 27.21875 1
Wrong 22.90625 1
Correct 26.453125 1
Wrong 20.34375 0
Correct 25.75 1
Correct 22.859375 1
Correct 21.78125 0
Wrong 21.4375 0
Correct 25.28125 1
Correct 21.0 0
Wrong 21.421875 0
Wrong 24.484375 1
Correct 25.734375 1
Wrong 24.4375 1
Wrong 23.734375 1
Wrong 25.1875 1
Correct 20.65625 0
Wrong 23.78125 1
Correct 20.890625 0
Wrong 24.09375 1
Wrong 22.34375 0
Correct 22.203125 0
Correct 27.4375 1
Wrong 23.296875 1
Wrong 18.625 0
Correct 19.859375 0
Wrong 23.375 1
Correct 25.21875 1
Correct 23.953125 1
Wrong 21.859375 0
Wrong 20.9375 0
Correct 22.96875 1
Correct 24.125 1
Correct 27.421875 1
Wrong 26.484375 1
Correct 23.9375 1
Correct 25.46875 1
Correct 25.375 1
Wrong 23.9375 1
Wrong 23.265625 1
Correct 26.78125 1
Correct 24.453125 1
Correct 22.53125 0
Wrong 19.421875 0
Wrong 19.21875 0
Wrong 21.296875 0
Correct 23.921875 1
Wrong 21.609375 0
Correct 26.59375 1
Correct 25.015625 1
Correct 24.859375 1
Correct 24.78125 1
Wrong 26.140625 1
Correct 26.421875 1
Wrong 25.046875 1
Correct 23.75 1
Wrong 22.90625 1
Wrong 20.234375 0
Wrong 23.421875 1
Wrong 24.015625 1
Correct 26.671875 1
Correct 22.640625 1
Wrong 24.0 1
Wrong 25.125 1
Correct 20.859375 0
Wrong 23.1875 1
Correct 25.765625 1
Wrong 23.203125 1
